    0.249091351146498695E+07    0.263642757919730444E+06    0.422103637427531722E-01    0.291760016280529122E+01   -0.300056350665248090E+03
    0.296269608110787813E+06    0.174218705241851480E+06    0.206541849899854496E+00    0.246307864754714778E+01   -0.299248058388856236E+03
    0.297078455030286172E+07    0.367414663627720904E+06    0.376978793457400999E-01    0.284062650544392525E+01   -0.298399238695985332E+03
    0.150686441563065932E+07    0.383936705254536646E+06    0.416005684023489850E-01    0.285516402599342278E+01   -0.298238562141943078E+03
    0.411138291816961661E+06    0.200650477570146060E+06    0.156004946155183649E+00    0.248957348067879369E+01   -0.298223970601292933E+03
    0.782397626085437951E+06    0.169172412410610559E+06    0.615194981182008230E-01    0.264111025280810763E+01   -0.298201355778758625E+03
    0.277005725322232465E+06    0.358425358592375123E+06    0.444880892475088274E-01    0.254114807514777485E+01   -0.298035327265849673E+03
    0.204709452947758953E+06    0.239839392466440127E+06    0.123261888769260641E+00    0.253473588085685986E+01   -0.297837032217259434E+03
    0.293852078694376338E+06    0.193899835527687275E+06    0.184973525813698803E+00    0.241976007322700948E+01   -0.297721421412896120E+03
    0.225838211761044251E+06    0.154658901309523644E+06    0.247418059432746668E+00    0.235129105544339190E+01   -0.297657701528893028E+03
    0.368714441520621651E+06    0.317631549678911746E+06    0.317707731179145067E-01    0.252805072932559094E+01   -0.297581147188836667E+03
    0.290309780015936878E+06    0.168880137501590187E+06    0.509396225725812848E-01    0.252807557572941555E+01   -0.297528855383569180E+03
    0.253019742501921533E+07    0.378132528042319696E+06    0.394137275362245881E-01    0.287777460538082952E+01   -0.297523195316779379E+03
    0.208084432809460466E+07    0.282727671476504300E+06    0.436559731111629615E-01    0.284872047362259062E+01   -0.297479082806641543E+03
    0.882832127572427737E+06    0.243079805238552857E+06    0.280162420259120748E-01    0.266804219959211597E+01   -0.297351217353441825E+03
    0.237770773452767497E+07    0.255395700591875619E+06    0.286306826069599937E-01    0.280678201933167504E+01   -0.297347635963250298E+03
    0.928726930935208220E+06    0.366233239795068686E+06    0.504664635447869062E-01    0.272444898658632217E+01   -0.297329311396414198E+03
    0.428783774579191013E+05    0.404070577684282034E+05    0.315123294611406535E+00    0.208333034786508309E+01   -0.297307647174112901E+03
    0.241580016849906184E+07    0.339705021783459350E+06    0.314227930590329843E-01    0.287577788076773899E+01   -0.297283220677667714E+03
    0.194742656901005167E+07    0.299017395553242066E+06    0.381590548541667698E-01    0.273609616295606672E+01   -0.297281652816604492E+03
    0.437784006343105284E+06    0.101953636598167010E+06    0.837439227330909475E-01    0.241758136973430737E+01   -0.297122168376557568E+03
    0.397279485426762898E+06    0.114165684174786555E+06    0.116969912964285355E+00    0.243525595582314569E+01   -0.297083015541996758E+03
    0.109614897054668469E+07    0.274872519004531903E+06    0.436664494705088363E-01    0.276269898331621544E+01   -0.297066150285621973E+03
    0.125525916575772967E+07    0.364795417954582430E+06    0.445939890863512531E-01    0.276459505792762572E+01   -0.297048638879480166E+03
    0.181565995275631198E+06    0.634715811068323237E+05    0.151563131671245827E+00    0.223003878776374176E+01   -0.297043798821400969E+03
    0.820786431582989055E+06    0.300114501899633498E+06    0.319661578237797478E-01    0.269451607973922069E+01   -0.297025007058653784E+03
    0.744375795562838204E+06    0.295914109650819504E+06    0.706539590257221767E-01    0.267817458097527217E+01   -0.296980557051652681E+03
    0.219851778078940790E+07    0.266709142286539078E+06    0.313046851594270745E-01    0.280680642828319549E+01   -0.296843544547501381E+03
    0.192898255237668818E+05    0.423168070925711363E+05    0.225866884875598889E+00    0.203790023759329397E+01   -0.296766421153665988E+03
