    0.114276824795422926E+05    0.128089327505519202E+01   -0.320597696151523166E+03
    0.119798584203130613E+05    0.118433622021616292E+01   -0.320412365521210006E+03
    0.112291621315295088E+05    0.128105253880834158E+01   -0.320350740067599304E+03
    0.105493023544490861E+05    0.132714465682057114E+01   -0.320229361896465207E+03
    0.708123243165131862E+04    0.889795038366854141E+00   -0.320140530645096305E+03
    0.142998402188464170E+05    0.509448717933196793E+00   -0.320011184923490760E+03
    0.123433325203392196E+05    0.400333410060285833E+00   -0.319980320212221443E+03
    0.997091030005303401E+04    0.131271741945475839E+01   -0.319855415633748521E+03
    0.783566241469588476E+04    0.540286797745904823E+00   -0.319631540615740676E+03
    0.111458670582223713E+05    0.120748960002172812E+01   -0.319460951217059176E+03
    0.918916091928353853E+04    0.125458686196800362E+01   -0.319404040310108655E+03
    0.129509344557093445E+05    0.450123557238389038E+00   -0.318738348856768084E+03
    0.748386788089031415E+04    0.876116695827378500E+00   -0.318708627135934933E+03
    0.119970543711311675E+05    0.426760375039013373E+00   -0.318690631580390573E+03
    0.125890484297079365E+05    0.918227640849602622E+00   -0.318648415293230073E+03
    0.760457203952852342E+04    0.910899307516017664E+00   -0.318566182797538090E+03
    0.124483302967162526E+05    0.919284168959897396E+00   -0.318377850546437912E+03
    0.132233378106791479E+05    0.748230387915962636E+00   -0.318298110769861978E+03
    0.135098605031037623E+05    0.546291886991155828E+00   -0.318194777234841638E+03
    0.126754745562613043E+05    0.857724753816201946E+00   -0.318183445599822619E+03
    0.134057503894261463E+05    0.678844716706956897E+00   -0.318173707091429151E+03
    0.891670099486786967E+04    0.497226860189885655E+00   -0.318112989963728580E+03
    0.121453767956097454E+05    0.947025026007059956E+00   -0.318107548222923754E+03
    0.795702321814032348E+04    0.961777272881160439E+00   -0.318061113371401746E+03
    0.792276542824485023E+04    0.609681883020050219E+00   -0.318025892005530693E+03
    0.761833882287041706E+04    0.788745827395601729E+00   -0.317995537272565855E+03
    0.791479311847463669E+04    0.616078622572963530E+00   -0.317962606982711634E+03
    0.968164318190353515E+04    0.113807969317018798E+01   -0.317913573911500180E+03
    0.121236599893490147E+05    0.927626325585193090E+00   -0.317862184496196392E+03
    0.132560196074466439E+05    0.536208477333142586E+00   -0.317806968389183396E+03
    0.782247394031919976E+04    0.658650452369977546E+00   -0.317776945131107823E+03
    0.133355652706428846E+05    0.617563643749270308E+00   -0.317768026507619538E+03
    0.870309470752478410E+04    0.524672540482547523E+00   -0.317763330206017145E+03
    0.122425403134441312E+05    0.894660207886038394E+00   -0.317729579409472251E+03
    0.105479517717182807E+05    0.109794481258225352E+01   -0.317720216315332664E+03
    0.106427381848229270E+05    0.452026449497504534E+00   -0.317688896278138600E+03
    0.109815459995529673E+05    0.105308817752976136E+01   -0.317599318422973511E+03
    0.982661841529175581E+04    0.472284667227030608E+00   -0.317576283723068912E+03
    0.812034856654428859E+04    0.943689609511806915E+00   -0.317565878183530117E+03
    0.114744278744245785E+05    0.995172918684248176E+00   -0.317563516497382011E+03
    0.129434949680351692E+05    0.513222813678235301E+00   -0.317543949242858162E+03
    0.128824442582293577E+05    0.739476724334664826E+00   -0.317508575996570642E+03
    0.782048476648332689E+04    0.815511937418910815E+00   -0.317502174453693499E+03
    0.837878067352527614E+04    0.988220282970234898E+00   -0.317474431344641630E+03
    0.880620498580441563E+04    0.528684809409245893E+00   -0.317455736608316386E+03
    0.131210904687586917E+05    0.562795188959871240E+00   -0.317424256760666992E+03
    0.131111756781550157E+05    0.574540181149966744E+00   -0.317365325340395941E+03
    0.127649425842578839E+05    0.512235944926415665E+00   -0.317310857862612011E+03
    0.113569209258692736E+05    0.984862994255648272E+00   -0.317299838792027970E+03
    0.127179591015270180E+05    0.750620962736612496E+00   -0.317273661483401497E+03
    0.790481191523884718E+04    0.807889332631563928E+00   -0.317265954407062452E+03
