    0.283768469095230103E+07    0.244974321126937866E+07    0.105223582625389089E+01    0.111594362258911151E+01   -0.268634855670443911E+06   -0.621460743175560815E+01    1
    0.267657047510147095E+07    0.287563061714172363E+07    0.939409315586089977E-01    0.110983645319938673E+01   -0.234502403944032238E+06   -0.621660743175561681E+01    1
    0.248740375041961670E+07    0.923435211181640625E+06    0.220944282412529003E+00    0.112599989175796522E+01   -0.172564691315269418E+06   -0.621860743175561392E+01    1
    0.125242692232131958E+07    0.252697134017944336E+07    0.802855989933013880E+00    0.112238714098930359E+01   -0.160313080103877815E+06   -0.622060743175561814E+01    1
    0.235872834920883179E+07    0.144789165258407593E+07    0.129499870419502261E+01    0.118417445421218881E+01   -0.139732865398501977E+06   -0.622260743175562414E+01    1
    0.161389124393463135E+07    0.115231364965438843E+07    0.137460052609443673E+01    0.112403377890586853E+01   -0.138506865085318510E+06   -0.622460743175562925E+01    1
    0.217544978857040405E+07    0.251220059394836426E+07    0.161269656598567956E+01    0.120776565670967106E+01   -0.136362285851816530E+06   -0.622660743175562548E+01    1
    0.276920020580291748E+07    0.371966421604156494E+06    0.867087077498435943E+00    0.117813455462455763E+01   -0.136277870747615962E+06   -0.622860743175562526E+01    1
    0.234031480550765991E+07    0.193286168575286865E+07    0.163896038472652439E+01    0.121187579631805420E+01   -0.127431408512518174E+06   -0.623060743175562948E+01    1
    0.198053008317947388E+07    0.214691680669784546E+07    0.124193991661071768E+01    0.120312381386756906E+01   -0.125283326492058535E+06   -0.623260743175562393E+01    1
    0.182550001144409180E+07    0.445128679275512695E+05    0.993561005592346197E-01    0.110866897106170659E+01   -0.123062773829084079E+06   -0.623460743175563081E+01    1
    0.182349550724029541E+07    0.777619779109954834E+06    0.149750590801239003E+01    0.114683563709259051E+01   -0.122761224838057329E+06   -0.623660743175562082E+01    1
    0.285894083976745605E+07    0.149776142835617065E+07    0.124569378852844248E+01    0.124010906815528887E+01   -0.116929667251796491E+06   -0.623860743175562416E+01    1
    0.225655746459960938E+07    0.943701803684234619E+06    0.609175271987914990E+00    0.120396819710731506E+01   -0.107660641733654746E+06   -0.624060743175563726E+01    1
    0.182252597808837891E+07    0.220264613628387451E+07    0.854203781485557534E+00    0.122182742357254037E+01   -0.106362540309190779E+06   -0.624260743175562549E+01    1
    0.224986356496810913E+07    0.186822384595870972E+07    0.168467392861843113E+01    0.123539440631866460E+01   -0.106292334124086832E+06   -0.624460743175562794E+01    1
    0.517458021640777588E+06    0.284987086057662964E+07    0.911459817290306118E+00    0.116485329866409315E+01   -0.100886172456768967E+06   -0.624660743175561439E+01    1
    0.162671434879302979E+07    0.171690022945404053E+07    0.872854527831077531E+00    0.120679069757461566E+01   -0.987384748984397447E+05   -0.624860743175559463E+01    1
    0.155676054954528809E+07    0.177255320549011230E+07    0.648494020104408264E+00    0.121108939647674574E+01   -0.927762746190371836E+05   -0.625060743175561750E+01    1
    0.212038117647171021E+07    0.298612654209136963E+07    0.999734876751899759E+00    0.128291270732879648E+01   -0.909861595923613349E+05   -0.625260743175562173E+01    1
    0.844291269779205322E+06    0.289800614118576050E+07    0.160443954229354868E+01    0.121180297732353215E+01   -0.906657874192520103E+05   -0.625460743175560463E+01    1
    0.277876925468444824E+07    0.251312237977981567E+07    0.127135084867477405E+00    0.127846100926399231E+01   -0.894052574102493090E+05   -0.625660743175562306E+01    1
    0.231772899627685547E+07    0.140177679061889648E+07    0.186488540112972268E+01    0.125517354011535653E+01   -0.883727018974713865E+05   -0.625860743175563883E+01    1
