    0.284144639968872070E+07    0.266205418109893799E+07    0.264639846086502084E+01    0.136245061576366422E+01    0.112358655929565443E+01   -0.592497852709325776E+08   -0.621460743175560815E+01    1
    0.299437004327774048E+07    0.180152338743209839E+07    0.234749799370765677E+01    0.571214289665222141E+00    0.114605342745780958E+01   -0.437069790767735243E+08   -0.621660743175561681E+01    1
    0.150857931375503540E+07    0.290906167030334473E+07    0.231641755700111407E+01    0.105763901531696325E+01    0.111785345077514653E+01   -0.431640780016165674E+08   -0.621860743175561392E+01    1
    0.291343009471893311E+07    0.239560264348983765E+07    0.234722350239753741E+01    0.164617088377475729E+01    0.117144868373870858E+01   -0.430563654729724899E+08   -0.622060743175561814E+01    1
    0.180447471141815186E+07    0.267041337490081787E+07    0.263058738112449664E+01    0.823159018754959115E+00    0.111844438314437866E+01   -0.429835038860268518E+08   -0.622260743175562414E+01    1
    0.292743873596191406E+07    0.283347433805465698E+07    0.213982388377189636E+01    0.145521186530590052E+01    0.119953812956810002E+01   -0.426419808108547032E+08   -0.622460743175562925E+01    1
    0.201973360776901245E+07    0.210072147846221924E+07    0.220948659777641288E+01    0.700190297365188563E+00    0.110024167299270648E+01   -0.423798737077569067E+08   -0.622660743175562548E+01    1
    0.263710159063339233E+07    0.299734801054000854E+07    0.238889864683151254E+01    0.307452834844589240E+00    0.121434484720230107E+01   -0.404852321120483950E+08   -0.622860743175562526E+01    1
    0.270751529932022095E+07    0.299145716428756714E+07    0.272409488558769208E+01    0.213582432866096517E+00    0.121429128050804147E+01   -0.369317800436355323E+08   -0.623060743175562948E+01    1
    0.230691611766815186E+07    0.123318618535995483E+07    0.253174596428871146E+01    0.101430236220359804E+01    0.112410886287689227E+01   -0.261975573297104090E+08   -0.623260743175562393E+01    1
    0.247976392507553101E+07    0.249110770225524902E+07    0.277965068221092215E+01    0.446246460676193224E+00    0.123500086665153508E+01   -0.224640232086573280E+08   -0.623460743175563081E+01    1
    0.122636049985885620E+07    0.183382451534271240E+07    0.252230730056762686E+01    0.158981120824813837E+01    0.110580253005027784E+01   -0.210852740475691408E+08   -0.623660743175562082E+01    1
    0.261087942123413086E+07    0.174260866641998291E+07    0.281973522901535034E+01    0.758483961820602404E+00    0.118549493551254281E+01   -0.198743612383480743E+08   -0.623860743175562416E+01    1
    0.237965601682662964E+07    0.219990527629852295E+07    0.223055778145790118E+01    0.718387770652770957E-01    0.126239892840385437E+01   -0.192923582766218930E+08   -0.624060743175563726E+01    1
    0.733487784862518311E+06    0.243511015176773071E+07    0.248843528032302874E+01    0.554970747232437153E-01    0.115916798114776620E+01   -0.179370692624703683E+08   -0.624260743175562549E+01    1
    0.273416179418563843E+07    0.313367843627929688E+06    0.274175307750701913E+01    0.887025726437568718E+00    0.110522733926773076E+01   -0.169592148398479633E+08   -0.624460743175562794E+01    1
    0.121457737684249878E+07    0.298346400260925293E+07    0.267133361101150513E+01    0.868875172138214080E+00    0.125091889500617981E+01   -0.169410662668115273E+08   -0.624660743175561439E+01    1
    0.181453657150268555E+07    0.200227618217468262E+07    0.210338049530982962E+01    0.152828848361969000E+00    0.123512634634971619E+01   -0.163063732865013294E+08   -0.624860743175559463E+01    1
