    0.597359433732395875E+06    0.558893736871071689E+00    0.199182578104548469E+01   -0.302737849252128740E+03
    0.146999448537826538E+07    0.340664187073707603E+00    0.213683727383613586E+01   -0.298182780515575701E+03
    0.757925157699033502E+06    0.114858439743634855E+00    0.206641871195572424E+01   -0.297829153383840094E+03
    0.218753811426405376E+07    0.241701893020273367E+00    0.221285677260903846E+01   -0.297452322193856162E+03
    0.167509535723407008E+07    0.344859098911601381E+00    0.212945054227080277E+01   -0.297426943880801673E+03
    0.161840062040783872E+06    0.306028835721111336E+00    0.175477374164196553E+01   -0.297201680566488506E+03
    0.232136180248477776E+07    0.186256916931984484E+00    0.215450093411808918E+01   -0.296764499383683869E+03
    0.284861257440776331E+07    0.139118536002148879E+00    0.223828349875643662E+01   -0.296385450933817822E+03
    0.262007650147039443E+07    0.158611733728482779E+00    0.219900094193237372E+01   -0.296309034402314751E+03
    0.156661719042488164E+07    0.315941306925050402E+00    0.209709086103875642E+01   -0.296048956278201501E+03
    0.771898443394001457E+06    0.136786921247739834E+00    0.205890196536098191E+01   -0.295845548525570052E+03
    0.161352471696262015E+07    0.170389031608917663E+00    0.219446482952582134E+01   -0.295841708193018519E+03
    0.249593998358521750E+07    0.101701679281682070E+00    0.229126849980709224E+01   -0.295706757899650768E+03
    0.126359081268310547E+07    0.196093266010284428E+00    0.201369706988334674E+01   -0.295554665146874754E+03
    0.135864448656134726E+07    0.124666096753125566E+00    0.202012695127307129E+01   -0.295490556019190933E+03
    0.110198094738320005E+07    0.263535939207988845E+00    0.200091359603818120E+01   -0.295338261868910990E+03
    0.985295558615187183E+06    0.319325426228697695E+00    0.199254120355161257E+01   -0.295336269882365002E+03
    0.104113678814025538E+07    0.366984517764700091E+00    0.204194201889166749E+01   -0.295244976779530816E+03
    0.715159830215895548E+06    0.337052861451714370E+00    0.201069909198080987E+01   -0.295239789305074851E+03
    0.120791919425319997E+07    0.266996562557681505E+00    0.202205221471678476E+01   -0.295126336411263253E+03
    0.271207393546875799E+07    0.120903676143632247E+00    0.222668861586929268E+01   -0.295097834617745889E+03
    0.236469954508789023E+07    0.158255116545662516E+00    0.217385836525489173E+01   -0.295071490521915791E+03
    0.125020540285680513E+07    0.333068792190601204E+00    0.207087562937728631E+01   -0.294989609928229811E+03
    0.133992599634692585E+07    0.280233362051284463E+00    0.205077227342582402E+01   -0.294965616270844066E+03
    0.186266212037295033E+07    0.513061478413957064E-01    0.225990710732305455E+01   -0.294958201037592175E+03
    0.109264013105239114E+07    0.175160336824128515E+00    0.198662274117899385E+01   -0.294837208032436877E+03
    0.108381449248820939E+07    0.344688955385162421E+00    0.205439979535226502E+01   -0.294835952222297749E+03
    0.624615904254414258E+06    0.392976066990669448E+00    0.193800052089950281E+01   -0.294805278780308299E+03
    0.855465877761121723E+06    0.361081659388577947E+00    0.202118062413659771E+01   -0.294801150974608561E+03
    0.537647774908504682E+06    0.301743204087447425E+00    0.188716953111677199E+01   -0.294786204069294513E+03
    0.567623511041166843E+06    0.158205757597834284E+00    0.198476756257468789E+01   -0.294779902914279887E+03
    0.175120482931692665E+07    0.196805247664250005E+00    0.218352135498056743E+01   -0.294734789339401118E+03
    0.280097453527278872E+07    0.666458111586171048E-01    0.222873385037691829E+01   -0.294708112810688817E+03
    0.284892858228060370E+07    0.875916196521113882E-01    0.225746245822041036E+01   -0.294686328859622733E+03
    0.246932542398395203E+07    0.152133764662533699E+00    0.221519099218487359E+01   -0.294640659526366903E+03
    0.164719269873666577E+07    0.225522209647688238E+00    0.216095664474803328E+01   -0.294634902795673383E+03
    0.628201851751818787E+06    0.112174974704338640E+00    0.198811238100538046E+01   -0.294560629821628140E+03
    0.229469445597385801E+07    0.176161927386390943E+00    0.219442418863478039E+01   -0.294531654385312038E+03
    0.132781356536872219E+07    0.275721048020820481E+00    0.205186888318488325E+01   -0.294524891211486533E+03
    0.289751191102378210E+07    0.471369847201710823E-01    0.226024588212423527E+01   -0.294456635408276043E+03
    0.700851726235289825E+06    0.267474967065545688E+00    0.192567877954477895E+01   -0.294437501383676363E+03
    0.990528554013255169E+06    0.130794277237643586E+00    0.210224868127623932E+01   -0.294408912936960348E+03
    0.111656913473847369E+07    0.525977011268149233E-01    0.205780321949018674E+01   -0.294378070602085700E+03
    0.381255357468287810E+06    0.263830614479141468E+00    0.190558417521238210E+01   -0.294372461928101075E+03
    0.360306140269947704E+06    0.338761768105693639E+00    0.184054521861321074E+01   -0.294366014010906895E+03
    0.134196197466693236E+07    0.546694038992593390E-01    0.215879146388349863E+01   -0.294295580914864445E+03
    0.267049700611165911E+07    0.347436118175282055E-01    0.228898275864192247E+01   -0.294285242328540562E+03
    0.131891493695029826E+07    0.734643327206485897E-01    0.216699113897161322E+01   -0.294243783178540468E+03
    0.960402589980175020E+06    0.167045908196631565E+00    0.209024691259818551E+01   -0.294240057298495117E+03
    0.130033873423670698E+07    0.201898767057666212E+00    0.202877643193691393E+01   -0.294239855075438356E+03
    0.231353927815892873E+07    0.382858614099134756E-01    0.228709546532829933E+01   -0.294228016668045484E+03
    0.256308335333788628E+07    0.901174525049072556E-01    0.227740436301439697E+01   -0.294223972200513060E+03
    0.195586086258655856E+07    0.194401657512376785E+00    0.218650866040351355E+01   -0.294207426973867200E+03
    0.190305469316136534E+07    0.570762233699164331E-01    0.225607495726879215E+01   -0.294196037580283189E+03
    0.500151325115632906E+06    0.156969384416893204E+00    0.187707383192438426E+01   -0.294147512589844951E+03
    0.206134328587352973E+07    0.139602766031909131E+00    0.213031585328513362E+01   -0.294142610028320291E+03
    0.179538938334455201E+07    0.935230541627969786E-01    0.208752590003101757E+01   -0.294137606135168141E+03
